"name","P","N"
"AC Hotel by Marriott Madison Downtown",39,5
"Americas Best Value Inn Madison",10,1
"AmericInn by Wyndham Madison West",49,5
"Baymont by Wyndham Madison West/Middleton WI West",32,3
"Baymont Inn And Suites Madison",12,1
"Budget Host Aloha Inn Motel",2,1
"Cambria Hotel Madison East",52,5
"Candlewood Suites Madison - Fitchburg",13,6
"Clarion Suites at the Alliant Energy Center",28,3
"Comfort Inn & Suites Madison - Airport",19,3
"Comfort Inn Madison - Downtown",10,0
"Crowne Plaza Hotel - Madison",76,17
"Days Inn & Suites by Wyndham Madison",16,2
"DoubleTree by Hilton Hotel Madison",71,3
"Econo Lodge",14,1
"Fairfield Inn & Suites by Marriott Madison East",21,1
"Hampton Inn & Suites Madison-West",28,0
"Hampton Inn & Suites Madison / Downtown",86,0
"Hampton Inn Madison East Towne Mall Area",31,2
"Holiday Inn Express",9,3
"Holiday Inn Express & Suites Madison",5,1
"Holiday Inn Express & Suites Madison Central",34,0
"Holiday Inn Hotel & Suites Madison West",41,6
"Holiday Inn Madison at The American Center",23,1
"Homewood Suites by Hilton Madison West",35,1
"Hotel Indigo Madison Downtown",12,1
"Hotel Ruby Marie",65,3
"Howard Johnson Plaza Hotel by Wyndham Madison",38,9
"Hyatt Place Madison Downtown",83,4
"La Quinta by Wyndham Madison American Center",35,4
"Magnuson Grand Hotel Madison",18,4
"Microtel Inn & Suites by Wyndham Madison East",13,4
"Quality Inn & Suites",6,1
"Radisson Hotel - Madison",43,4
"Red Roof Inn Madison, WI",25,9
"Residence Inn Madison East",17,2
"Rodeway Inn & Suites WI Madison-Northeast",10,1
"Sleep Inn & Suites",18,0
"SpringHill Suites Madison",4,0
"Staybridge Suites Madison-East",17,1
"Super 8 by Wyndham Madison East",16,5
"Super 8 by Wyndham Madison South",19,0
"The Madison Concourse Hotel and Governor's Club",178,9
"Tru by Hilton Madison West",16,1
"University Inn Madison",9,1
